-6.6350e-03,5.5205e-05
-6.6340e-03,3.8644e-04
-6.5858e-03,7.1767e-04
-6.5846e-03,1.0962e-03
-6.5362e-03,1.4748e-03
-6.4879e-03,1.8533e-03
-6.3923e-03,2.2319e-03
-6.2966e-03,2.6577e-03
-6.1539e-03,3.0363e-03
-6.0111e-03,3.4621e-03
-5.8683e-03,3.8880e-03
-5.6782e-03,4.3139e-03
-5.5354e-03,4.7397e-03
-5.2982e-03,5.1656e-03
-5.1083e-03,5.5442e-03
-4.8713e-03,5.9227e-03
-4.6342e-03,6.3013e-03
-4.4444e-03,6.6798e-03
-4.1602e-03,7.0584e-03
-3.9233e-03,7.3896e-03
-3.6864e-03,7.7208e-03
-3.3549e-03,8.1467e-03
-3.1180e-03,8.4779e-03
-2.7866e-03,8.8565e-03
-2.5025e-03,9.1877e-03
-2.2658e-03,9.4716e-03
-1.8871e-03,9.8975e-03
-1.5559e-03,1.0229e-02
-1.2245e-03,1.0607e-02
-8.4608e-04,1.0938e-02
-5.1485e-04,1.1270e-02
-8.8983e-05,1.1696e-02
